epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,3777.46,0.96366,0.66344,1.27103,0.96087,0.983,0.98702,0.56667,1.57023,0.53201,2.10499,0.000181703,0.000181703,0.000181703
110,3811.84,0.96182,0.6622,1.2716,0.95495,0.98404,0.98689,0.5641,1.57026,0.52337,2.10044,0.00016795,0.00016795,0.00016795
111,3846.94,0.82059,0.38757,1.29563,0.96203,0.94808,0.96691,0.55624,1.59454,0.54197,2.1347,0.000154198,0.000154198,0.000154198
112,3880.96,0.7935,0.36009,1.27986,0.9669,0.96703,0.9823,0.56873,1.57367,0.5419,2.11361,0.000140445,0.000140445,0.000140445
113,3914.75,0.78203,0.35454,1.27394,0.97454,0.97756,0.98582,0.56918,1.58223,0.52899,2.12154,0.000126692,0.000126692,0.000126692
114,3948.57,0.76506,0.34736,1.24842,0.96576,0.96849,0.97801,0.56696,1.58937,0.55106,2.14863,0.000112939,0.000112939,0.000112939
115,3982.44,0.76033,0.34263,1.25467,0.96529,0.96603,0.96677,0.57545,1.6074,0.54396,2.19413,9.91865e-05,9.91865e-05,9.91865e-05
116,4016.31,0.75886,0.34112,1.25539,0.97198,0.97402,0.97947,0.57648,1.5927,0.53555,2.16668,8.54337e-05,8.54337e-05,8.54337e-05
117,4050.16,0.7403,0.33923,1.23815,0.969,0.97625,0.97626,0.57495,1.59967,0.55408,2.1734,7.1681e-05,7.1681e-05,7.1681e-05
118,4084.2,0.74291,0.33663,1.23614,0.97042,0.9762,0.97761,0.57475,1.58104,0.5343,2.15026,5.79283e-05,5.79283e-05,5.79283e-05
119,4118.26,0.74536,0.33916,1.24305,0.96305,0.97214,0.97559,0.5761,1.57402,0.54006,2.14633,4.41755e-05,4.41755e-05,4.41755e-05
120,4152.18,0.727,0.33333,1.2188,0.96395,0.96791,0.97561,0.57577,1.58159,0.5419,2.16944,3.04227e-05,3.04227e-05,3.04227e-05
